ID,사고일시,요일,기상상태,시군구,도로형태,노면상태,사고유형,사고유형 - 세부분류,법규위반,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,사망자수,중상자수,경상자수,부상자수,사고위험도
ACCIDENT_00017,2019-01-01 20,화요일,맑음,대구광역시 수성구 만촌동,단일로 - 기타,건조,차대차,측면충돌,안전운전불이행,승용,남,72세,상해없음,이륜,남,17세,경상,0,0,1,0,3
ACCIDENT_00018,2019-01-01 22,화요일,맑음,대구광역시 중구 남산동,교차로 - 교차로안,건조,차대차,측면충돌,신호위반,승용,남,33세,상해없음,승용,남,69세,중상,0,1,0,0,5
ACCIDENT_00019,2019-01-02 01,수요일,맑음,대구광역시 서구 비산동,단일로 - 기타,건조,차대차,측면충돌,안전운전불이행,이륜,남,27세,중상,승용,남,54세,상해없음,0,1,0,0,5
ACCIDENT_00020,2019-01-02 02,수요일,맑음,대구광역시 북구 침산동,단일로 - 기타,건조,차대차,정면충돌,중앙선침범,승용,남,33세,중상,승용,남,55세,중상,0,3,0,0,15
ACCIDENT_00021,2019-01-02 07,수요일,맑음,대구광역시 달서구 두류동,단일로 - 기타,건조,차대사람,기타,안전운전불이행,승용,여,50세,상해없음,보행자,여,52세,경상,0,0,1,0,3
ACCIDENT_00022,2019-01-02 08,수요일,맑음,대구광역시 서구 평리동,단일로 - 기타,건조,차대차,추돌,안전운전불이행,이륜,남,33세,상해없음,승용,남,64세,경상,0,0,1,0,3
ACCIDENT_00023,2019-01-02 10,수요일,맑음,대구광역시 수성구 신매동,단일로 - 기타,건조,차대차,추돌,안전거리미확보,이륜,남,19세,경상,승용,여,41세,상해없음,0,0,1,0,3
ACCIDENT_00024,2019-01-02 10,수요일,맑음,대구광역시 달서구 대곡동,단일로 - 기타,건조,차대차,측면충돌,중앙선침범,승용,여,41세,상해없음,승용,남,44세,경상,0,0,1,0,3
ACCIDENT_00025,2019-01-02 10,수요일,맑음,대구광역시 달성군 유가읍,주차장 - 주차장,건조,차대사람,횡단중,안전운전불이행,특수,남,46세,상해없음,보행자,남,58세,경상,0,0,1,0,3
ACCIDENT_00026,2019-01-02 11,수요일,맑음,대구광역시 달성군 논공읍,단일로 - 기타,건조,차대사람,기타,안전운전불이행,승용,남,54세,상해없음,보행자,남,45세,경상,0,0,1,0,3
ACCIDENT_00027,2019-01-02 13,수요일,맑음,대구광역시 동구 율하동,교차로 - 교차로안,건조,차대차,후진중충돌,안전운전불이행,승용,남,76세,상해없음,이륜,남,17세,부상신고,0,0,0,2,2
ACCIDENT_00028,2019-01-02 13,수요일,맑음,대구광역시 수성구 만촌동,교차로 - 교차로부근,건조,차대차,측면충돌,차로위반,자전거,남,52세,경상,화물,남,30세,상해없음,0,0,1,0,3
ACCIDENT_00029,2019-01-02 13,수요일,맑음,대구광역시 수성구 시지동,교차로 - 교차로안,건조,차대차,기타,교차로운행방법위반,승용,여,35세,상해없음,개인형이동수단(PM),남,59세,중상,0,1,0,0,5
ACCIDENT_00030,2019-01-02 14,수요일,맑음,대구광역시 동구 봉무동,기타 - 기타,건조,차대차,측면충돌,안전운전불이행,이륜,남,25세,부상신고,승용,여,57세,상해없음,0,0,0,1,1
ACCIDENT_00031,2019-01-02 14,수요일,맑음,대구광역시 동구 율하동,단일로 - 기타,건조,차대차,측면충돌,안전거리미확보,승용,남,62세,상해없음,화물,남,70세,경상,0,0,2,0,6
ACCIDENT_00032,2019-01-02 14,수요일,맑음,대구광역시 달서구 상인동,교차로 - 교차로안,건조,차대차,측면충돌,안전운전불이행,승용,여,60세,상해없음,승용,여,34세,경상,0,0,1,0,3
ACCIDENT_00033,2019-01-02 14,수요일,맑음,대구광역시 달성군 다사읍,교차로 - 교차로횡단보도내,건조,차대사람,횡단중,보행자보호의무위반,화물,남,33세,상해없음,보행자,남,76세,중상,0,1,0,0,5
ACCIDENT_00034,2019-01-02 14,수요일,맑음,대구광역시 중구 동산동,단일로 - 기타,건조,차대차,측면충돌,차로위반,승용,남,85세,상해없음,승용,남,36세,경상,0,0,2,0,6
ACCIDENT_00035,2019-01-02 14,수요일,맑음,대구광역시 달서구 두류동,교차로 - 교차로안,건조,차대차,측면충돌,직진우회전진행방해,승용,남,52세,상해없음,승용,남,59세,경상,0,0,1,0,3
ACCIDENT_00036,2019-01-02 15,수요일,맑음,대구광역시 달서구 대곡동,단일로 - 기타,건조,차대차,측면충돌,안전거리미확보,승용,여,54세,상해없음,승용,여,42세,경상,0,0,1,0,3
ACCIDENT_00037,2019-01-02 15,수요일,맑음,대구광역시 서구 평리동,교차로 - 교차로부근,건조,차대차,측면충돌,차로위반,승용,여,60세,부상신고,승용,남,68세,경상,0,0,2,1,7
ACCIDENT_00038,2019-01-02 15,수요일,맑음,대구광역시 서구 이현동,단일로 - 기타,건조,차대차,측면충돌,안전거리미확보,기타불명,기타불명,미분류,기타불명,승용,남,32세,부상신고,0,0,0,1,1
ACCIDENT_00039,2019-01-02 16,수요일,맑음,대구광역시 달서구 두류동,교차로 - 교차로부근,건조,차대사람,기타,안전운전불이행,이륜,남,20세,상해없음,보행자,남,76세,경상,0,0,1,0,3
ACCIDENT_00040,2019-01-02 17,수요일,맑음,대구광역시 남구 이천동,교차로 - 교차로안,건조,차대차,측면충돌,신호위반,승용,남,66세,상해없음,승용,남,61세,경상,0,0,2,0,6
ACCIDENT_00041,2019-01-02 17,수요일,맑음,대구광역시 달성군 유가읍,교차로 - 교차로부근,건조,차대차,기타,안전운전불이행,승용,남,21세,상해없음,이륜,남,21세,부상신고,0,0,0,1,1
ACCIDENT_00042,2019-01-02 18,수요일,맑음,대구광역시 수성구 수성동4가,단일로 - 기타,건조,차대차,측면충돌,안전거리미확보,승용,남,60세,상해없음,이륜,남,52세,경상,0,0,1,0,3
ACCIDENT_00043,2019-01-02 18,수요일,맑음,대구광역시 북구 노원동3가,단일로 - 기타,건조,차대차,기타,안전거리미확보,승용,여,46세,경상,화물,여,56세,경상,0,0,2,0,6
ACCIDENT_00044,2019-01-02 18,수요일,맑음,대구광역시 서구 비산동,단일로 - 기타,건조,차대차,추돌,안전거리미확보,화물,남,67세,경상,승용,여,23세,경상,0,0,2,0,6
ACCIDENT_00045,2019-01-02 18,수요일,맑음,대구광역시 북구 서변동,단일로 - 기타,건조,차대차,기타,안전운전불이행,승용,남,56세,상해없음,이륜,남,18세,경상,0,0,2,0,6
ACCIDENT_00046,2019-01-02 18,수요일,맑음,대구광역시 북구 관음동,단일로 - 기타,건조,차대차,기타,안전운전불이행,화물,남,59세,상해없음,승용,남,37세,경상,0,0,1,0,3
ACCIDENT_00047,2019-01-02 18,수요일,맑음,대구광역시 북구 학정동,교차로 - 교차로부근,건조,차대차,기타,안전운전불이행,승용,여,54세,상해없음,자전거,남,58세,중상,0,1,0,0,5
ACCIDENT_00048,2019-01-02 19,수요일,맑음,대구광역시 수성구 파동,단일로 - 기타,건조,차대차,추돌,안전거리미확보,승용,여,40세,부상신고,승용,여,42세,경상,0,0,1,1,4
ACCIDENT_00049,2019-01-02 19,수요일,맑음,대구광역시 달성군 논공읍,단일로 - 기타,건조,차대차,기타,안전운전불이행,승용,남,51세,상해없음,자전거,남,39세,부상신고,0,0,0,1,1
ACCIDENT_00050,2019-01-02 19,수요일,맑음,대구광역시 달서구 감삼동,단일로 - 기타,건조,차대차,기타,안전거리미확보,승용,여,56세,경상,승용,여,35세,경상,0,0,4,0,12
ACCIDENT_00051,2019-01-02 20,수요일,맑음,대구광역시 수성구 상동,단일로 - 기타,건조,차대차,추돌,안전운전불이행,화물,남,70세,기타불명,승용,여,59세,경상,0,0,1,0,3
ACCIDENT_00052,2019-01-02 22,수요일,맑음,대구광역시 달서구 이곡동,교차로 - 교차로안,건조,차대차,측면충돌,신호위반,승용,남,30세,상해없음,승용,남,52세,중상,0,1,0,0,5
ACCIDENT_00053,2019-01-02 23,수요일,맑음,대구광역시 북구 서변동,교차로 - 교차로부근,건조,차량단독,공작물충돌,안전운전불이행,승용,남,62세,경상,,,,,0,0,1,0,3
ACCIDENT_00054,2019-01-03 00,목요일,맑음,대구광역시 동구 효목동,단일로 - 기타,건조,차대차,기타,안전운전불이행,원동기,남,25세,경상,승용,남,62세,상해없음,0,0,1,0,3
ACCIDENT_00055,2019-01-03 02,목요일,맑음,대구광역시 북구 읍내동,교차로 - 교차로안,건조,차대차,측면충돌,직진우회전진행방해,승용,여,65세,상해없음,이륜,남,27세,경상,0,0,1,0,3
ACCIDENT_00056,2019-01-03 03,목요일,맑음,대구광역시 중구 남성로,교차로 - 교차로안,건조,차대차,측면충돌,교차로운행방법위반,승용,남,68세,상해없음,승용,남,35세,경상,0,0,1,1,4
ACCIDENT_00057,2019-01-03 05,목요일,맑음,대구광역시 북구 노원동3가,교차로 - 교차로안,건조,차대차,측면충돌,신호위반,승용,남,47세,부상신고,승용,남,65세,중상,0,1,0,1,6
ACCIDENT_00058,2019-01-03 07,목요일,맑음,대구광역시 달서구 죽전동,기타 - 기타,건조,차대차,측면충돌,안전운전불이행,화물,남,48세,상해없음,승용,남,41세,경상,0,0,1,0,3
ACCIDENT_00059,2019-01-03 08,목요일,맑음,대구광역시 수성구 만촌동,단일로 - 기타,건조,차대차,측면충돌,차로위반,승용,남,60세,상해없음,승용,남,43세,경상,0,0,1,0,3
ACCIDENT_00060,2019-01-03 08,목요일,맑음,대구광역시 북구 복현동,단일로 - 기타,건조,차대차,기타,안전운전불이행,자전거,남,43세,부상신고,화물,남,42세,상해없음,0,0,0,1,1
ACCIDENT_00061,2019-01-03 10,목요일,맑음,대구광역시 달서구 월성동,교차로 - 교차로횡단보도내,건조,차대사람,횡단중,신호위반,이륜,남,47세,상해없음,보행자,여,12세,경상,0,0,1,0,3
ACCIDENT_00062,2019-01-03 11,목요일,맑음,대구광역시 남구 대명동,기타 - 기타,건조,차대차,측면충돌,안전운전불이행,승용,남,70세,상해없음,승용,여,30세,경상,0,0,1,0,3
ACCIDENT_00063,2019-01-03 11,목요일,맑음,대구광역시 북구 동천동,교차로 - 교차로안,건조,차대차,기타,안전운전불이행,승용,여,51세,상해없음,자전거,여,55세,중상,0,1,0,0,5
ACCIDENT_00064,2019-01-03 12,목요일,맑음,대구광역시 동구 지저동,교차로 - 교차로부근,건조,차대사람,기타,안전운전불이행,승용,여,58세,상해없음,보행자,남,60세,부상신고,0,0,0,1,1
ACCIDENT_00065,2019-01-03 12,목요일,맑음,대구광역시 동구 신암동,교차로 - 교차로안,건조,차대차,측면충돌,교차로운행방법위반,화물,남,46세,상해없음,승용,남,59세,경상,0,0,1,0,3
ACCIDENT_00066,2019-01-03 12,목요일,맑음,대구광역시 북구 노원동3가,단일로 - 기타,건조,차대사람,횡단중,과속,화물,남,21세,상해없음,보행자,여,75세,중상,0,1,0,0,5
ACCIDENT_00067,2019-01-03 12,목요일,맑음,대구광역시 남구 대명동,단일로 - 기타,건조,차대차,측면충돌,안전거리미확보,승용,남,60세,경상,승용,여,32세,경상,0,0,2,0,6
ACCIDENT_00068,2019-01-03 13,목요일,맑음,대구광역시 북구 사수동,단일로 - 기타,건조,차대사람,기타,안전운전불이행,승합,남,59세,상해없음,보행자,남,4세,경상,0,0,1,0,3
ACCIDENT_00069,2019-01-03 14,목요일,맑음,대구광역시 달서구 월성동,교차로 - 교차로안,건조,차대사람,횡단중,보행자보호의무위반,승용,여,31세,상해없음,보행자,남,42세,중상,0,1,0,0,5
ACCIDENT_00070,2019-01-03 14,목요일,맑음,대구광역시 달서구 월성동,교차로 - 교차로부근,건조,차대차,측면충돌,교차로운행방법위반,승용,남,44세,상해없음,승용,남,58세,경상,0,0,1,0,3
ACCIDENT_00071,2019-01-03 14,목요일,맑음,대구광역시 서구 비산동,교차로 - 교차로부근,건조,차대차,측면충돌,안전운전불이행,화물,남,53세,상해없음,자전거,남,71세,중상,0,1,0,0,5
ACCIDENT_00072,2019-01-03 15,목요일,맑음,대구광역시 남구 대명동,단일로 - 기타,건조,차대차,측면충돌,안전운전불이행,승용,남,32세,상해없음,이륜,남,36세,경상,0,0,2,0,6
ACCIDENT_00073,2019-01-03 17,목요일,맑음,대구광역시 달성군 논공읍,교차로 - 교차로안,건조,차대차,측면충돌,안전운전불이행,승용,남,41세,경상,승합,남,40세,중상,0,2,1,0,13
ACCIDENT_00074,2019-01-03 17,목요일,맑음,대구광역시 북구 노원동3가,단일로 - 기타,건조,차대차,추돌,안전거리미확보,승용,남,37세,상해없음,승용,남,39세,경상,0,0,1,0,3
ACCIDENT_00075,2019-01-03 17,목요일,맑음,대구광역시 북구 침산동,단일로 - 기타,건조,차대차,추돌,안전운전불이행,승용,남,66세,상해없음,화물,남,48세,경상,0,0,1,0,3
ACCIDENT_00076,2019-01-03 18,목요일,맑음,대구광역시 중구 덕산동,단일로 - 기타,건조,차대사람,기타,보행자보호의무위반,이륜,남,22세,상해없음,보행자,남,23세,경상,0,1,1,0,8
ACCIDENT_00077,2019-01-03 18,목요일,맑음,대구광역시 달서구 본리동,기타 - 기타,건조,차대차,측면충돌,안전운전불이행,승용,여,52세,상해없음,자전거,남,14세,경상,0,0,1,0,3
ACCIDENT_00078,2019-01-03 18,목요일,맑음,대구광역시 달서구 본리동,단일로 - 기타,건조,차대차,측면충돌,안전운전불이행,자전거,남,24세,상해없음,사륜오토바이(ATV),남,19세,경상,0,0,1,0,3
ACCIDENT_00079,2019-01-03 19,목요일,맑음,대구광역시 동구 용계동,단일로 - 기타,건조,차대차,측면충돌,안전운전불이행,화물,남,59세,상해없음,자전거,남,58세,부상신고,0,0,0,1,1
ACCIDENT_00080,2019-01-03 19,목요일,맑음,대구광역시 동구 효목동,교차로 - 교차로안,건조,차대차,측면충돌,교차로운행방법위반,승용,여,31세,부상신고,승용,남,57세,상해없음,0,0,0,1,1
ACCIDENT_00081,2019-01-03 19,목요일,맑음,대구광역시 동구 신천동,단일로 - 기타,건조,차대사람,기타,기타,자전거,남,52세,상해없음,보행자,남,53세,경상,0,0,1,0,3
ACCIDENT_00082,2019-01-03 20,목요일,맑음,대구광역시 수성구 범어동,교차로 - 교차로안,건조,차대차,측면충돌,교차로운행방법위반,승용,남,66세,상해없음,승용,남,71세,경상,0,0,1,0,3
ACCIDENT_00083,2019-01-03 20,목요일,맑음,대구광역시 북구 태전동,단일로 - 기타,건조,차대차,측면충돌,안전운전불이행,기타불명,남,미분류,기타불명,자전거,남,66세,중상,0,1,0,0,5
ACCIDENT_00084,2019-01-03 21,목요일,맑음,대구광역시 달서구 신당동,교차로 - 교차로안,건조,차대차,측면충돌,신호위반,승용,남,34세,상해없음,승용,여,59세,중상,0,1,0,0,5
ACCIDENT_00085,2019-01-03 21,목요일,맑음,대구광역시 달서구 성당동,단일로 - 기타,건조,차대차,추돌,안전운전불이행,승용,여,33세,상해없음,승용,남,52세,상해없음,0,0,4,0,12
ACCIDENT_00086,2019-01-03 22,목요일,맑음,대구광역시 서구 평리동,단일로 - 기타,건조,차대차,추돌,안전거리미확보,승용,남,35세,상해없음,화물,남,69세,경상,0,0,2,0,6
ACCIDENT_00087,2019-01-03 23,목요일,맑음,대구광역시 남구 대명동,교차로 - 교차로안,건조,차대차,측면충돌,직진우회전진행방해,이륜,남,20세,경상,승용,남,63세,경상,0,0,2,0,6
ACCIDENT_00088,2019-01-04 00,금요일,맑음,대구광역시 달서구 용산동,교차로 - 교차로부근,건조,차대차,측면충돌,불법유턴,승용,남,26세,상해없음,이륜,남,48세,중상,0,1,0,0,5
ACCIDENT_00089,2019-01-04 01,금요일,맑음,대구광역시 서구 비산동,교차로 - 교차로안,건조,차대차,측면충돌,신호위반,승용,남,53세,상해없음,승용,남,60세,경상,0,0,4,0,12
ACCIDENT_00090,2019-01-04 04,금요일,맑음,대구광역시 중구 대신동,교차로 - 교차로부근,건조,차대차,추돌,안전운전불이행,승용,남,19세,상해없음,승용,남,71세,경상,0,0,1,0,3
ACCIDENT_00091,2019-01-04 05,금요일,맑음,대구광역시 서구 평리동,교차로 - 교차로부근,건조,차대차,측면충돌,교차로운행방법위반,승합,남,62세,상해없음,승용,남,50세,중상,0,1,0,0,5
ACCIDENT_00092,2019-01-04 05,금요일,맑음,대구광역시 중구 태평로3가,교차로 - 교차로횡단보도내,건조,차대사람,횡단중,신호위반,승용,남,75세,상해없음,보행자,여,30세,중상,0,1,0,0,5
ACCIDENT_00093,2019-01-04 06,금요일,맑음,대구광역시 서구 비산동,단일로 - 기타,건조,차대차,측면충돌,안전운전불이행,자전거,남,35세,부상신고,승용,남,60세,상해없음,0,0,0,1,1
ACCIDENT_00094,2019-01-04 06,금요일,맑음,대구광역시 달서구 이곡동,단일로 - 기타,건조,차대차,기타,안전거리미확보,승용,남,20세,상해없음,승용,남,45세,중상,0,1,0,0,5
ACCIDENT_00095,2019-01-04 07,금요일,맑음,대구광역시 달서구 이곡동,단일로 - 기타,건조,차대사람,횡단중,안전운전불이행,화물,남,26세,상해없음,보행자,여,57세,사망,1,0,0,0,10
ACCIDENT_00096,2019-01-04 08,금요일,맑음,대구광역시 달서구 대곡동,교차로 - 교차로부근,건조,차대차,측면충돌,교차로운행방법위반,승용,남,49세,상해없음,승용,남,20세,부상신고,0,0,0,1,1
ACCIDENT_00097,2019-01-04 10,금요일,맑음,대구광역시 달서구 이곡동,교차로 - 교차로안,건조,차대차,측면충돌,신호위반,화물,남,51세,상해없음,승용,남,31세,경상,0,0,1,0,3
ACCIDENT_00098,2019-01-04 11,금요일,맑음,대구광역시 동구 용계동,교차로 - 교차로부근,건조,차대차,측면충돌,안전운전불이행,이륜,남,21세,부상신고,승용,남,62세,상해없음,0,0,0,1,1
ACCIDENT_00099,2019-01-04 11,금요일,맑음,대구광역시 북구 침산동,교차로 - 교차로안,건조,차대차,측면충돌,직진우회전진행방해,자전거,남,52세,경상,승용,여,34세,상해없음,0,0,1,0,3
ACCIDENT_00100,2019-01-04 12,금요일,맑음,대구광역시 동구 도학동,단일로 - 기타,건조,차량단독,공작물충돌,안전운전불이행,승용,여,53세,경상,,,,,0,0,1,0,3
ACCIDENT_00101,2019-01-04 12,금요일,맑음,대구광역시 수성구 욱수동,단일로 - 기타,건조,차대차,측면충돌,차로위반,승용,여,54세,상해없음,승용,남,36세,경상,0,1,1,0,8
ACCIDENT_00102,2019-01-04 13,금요일,맑음,대구광역시 달서구 신당동,단일로 - 기타,건조,차대사람,보도통행중,기타,승용,남,50세,상해없음,보행자,여,58세,중상,0,1,0,0,5
ACCIDENT_00103,2019-01-04 14,금요일,맑음,대구광역시 동구 불로동,교차로 - 교차로부근,건조,차대차,측면충돌,안전거리미확보,승용,여,46세,상해없음,이륜,남,19세,경상,0,0,1,0,3
ACCIDENT_00104,2019-01-04 14,금요일,맑음,대구광역시 달서구 상인동,교차로 - 교차로안,건조,차대차,측면충돌,교차로운행방법위반,승용,남,37세,경상,승용,남,44세,경상,0,0,4,0,12
ACCIDENT_00105,2019-01-04 15,금요일,맑음,대구광역시 북구 태전동,단일로 - 기타,건조,차대사람,기타,보행자보호의무위반,승용,여,62세,상해없음,보행자,여,67세,경상,0,0,1,0,3
ACCIDENT_00106,2019-01-04 16,금요일,맑음,대구광역시 동구 신암동,교차로 - 교차로부근,건조,차대차,기타,안전거리미확보,이륜,남,46세,부상신고,이륜,남,17세,경상,0,0,2,1,7
ACCIDENT_00107,2019-01-04 16,금요일,맑음,대구광역시 달서구 상인동,단일로 - 기타,건조,차대차,기타,안전운전불이행,승용,여,56세,상해없음,이륜,남,35세,중상,0,1,1,0,8
ACCIDENT_00108,2019-01-04 17,금요일,맑음,대구광역시 남구 대명동,단일로 - 기타,건조,차대사람,기타,안전운전불이행,승용,남,51세,상해없음,보행자,여,75세,중상,0,1,0,0,5
ACCIDENT_00109,2019-01-04 17,금요일,맑음,대구광역시 동구 효목동,단일로 - 기타,건조,차대차,측면충돌,안전운전불이행,승용,남,68세,경상,승용,남,26세,경상,0,0,2,0,6
ACCIDENT_00110,2019-01-04 17,금요일,맑음,대구광역시 북구 칠성동1가,교차로 - 교차로안,건조,차대사람,기타,안전운전불이행,화물,남,58세,상해없음,보행자,여,75세,중상,0,1,0,0,5
ACCIDENT_00111,2019-01-04 17,금요일,맑음,대구광역시 달서구 용산동,단일로 - 기타,건조,차대차,추돌,안전운전불이행,승용,남,62세,상해없음,화물,남,35세,경상,0,0,1,0,3
ACCIDENT_00112,2019-01-04 18,금요일,맑음,대구광역시 달서구 장기동,단일로 - 기타,건조,차대사람,횡단중,신호위반,원동기,남,20세,상해없음,보행자,여,22세,경상,0,0,1,0,3
ACCIDENT_00113,2019-01-04 18,금요일,흐림,대구광역시 북구 읍내동,교차로 - 교차로부근,건조,차대사람,보도통행중,기타,이륜,남,23세,상해없음,보행자,남,47세,부상신고,0,0,0,1,1
ACCIDENT_00114,2019-01-04 18,금요일,맑음,대구광역시 북구 서변동,단일로 - 기타,건조,차대사람,기타,안전운전불이행,승용,여,49세,상해없음,보행자,남,16세,경상,0,0,1,0,3
ACCIDENT_00115,2019-01-04 19,금요일,맑음,대구광역시 수성구 매호동,교차로 - 교차로부근,건조,차대사람,횡단중,안전운전불이행,승용,남,34세,상해없음,보행자,남,57세,중상,0,1,0,0,5
ACCIDENT_00116,2019-01-04 19,금요일,맑음,대구광역시 달서구 상인동,교차로 - 교차로부근,건조,차대차,측면충돌,중앙선침범,이륜,여,23세,중상,승합,여,54세,경상,0,1,1,0,8
ACCIDENT_00117,2019-01-04 20,금요일,맑음,대구광역시 남구 대명동,단일로 - 기타,건조,차대차,측면충돌,안전거리미확보,승용,남,52세,상해없음,승용,남,22세,경상,0,0,2,0,6
ACCIDENT_00118,2019-01-04 20,금요일,맑음,대구광역시 남구 대명동,교차로 - 교차로부근,건조,차량단독,기타,기타,승용,남,62세,상해없음,,,,,0,0,1,0,3
ACCIDENT_00119,2019-01-04 20,금요일,맑음,대구광역시 달서구 월성동,교차로 - 교차로부근,건조,차대차,추돌,안전운전불이행,승용,남,46세,상해없음,승용,여,58세,경상,0,0,1,0,3
ACCIDENT_00120,2019-01-04 21,금요일,맑음,대구광역시 달서구 월성동,단일로 - 기타,건조,차대사람,횡단중,보행자보호의무위반,승용,남,38세,상해없음,보행자,남,38세,경상,0,0,1,0,3
ACCIDENT_00121,2019-01-05 00,토요일,맑음,대구광역시 수성구 황금동,단일로 - 기타,건조,차대차,측면충돌,안전운전불이행,승용,남,50세,부상신고,승용,남,58세,상해없음,0,1,2,1,12
ACCIDENT_00122,2019-01-05 00,토요일,맑음,대구광역시 달서구 대천동,교차로 - 교차로부근,건조,차대차,추돌,안전운전불이행,승용,남,67세,상해없음,승용,남,37세,경상,0,0,1,0,3
ACCIDENT_00123,2019-01-05 00,토요일,맑음,대구광역시 중구 삼덕동1가,단일로 - 기타,건조,차대사람,기타,안전운전불이행,승용,남,18세,상해없음,보행자,남,28세,부상신고,0,0,0,1,1
ACCIDENT_00124,2019-01-05 01,토요일,맑음,대구광역시 서구 상리동,단일로 - 기타,건조,차대차,측면충돌,안전운전불이행,화물,남,32세,상해없음,승용,여,46세,경상,0,0,1,0,3
ACCIDENT_00125,2019-01-05 04,토요일,맑음,대구광역시 수성구 수성동2가,교차로 - 교차로안,건조,차대차,측면충돌,신호위반,승용,남,58세,상해없음,승용,남,59세,경상,0,0,1,0,3
ACCIDENT_00126,2019-01-05 04,토요일,흐림,대구광역시 달서구 두류동,교차로 - 교차로안,건조,차대차,측면충돌,신호위반,승용,남,45세,상해없음,승용,남,64세,경상,0,0,1,0,3
ACCIDENT_00127,2019-01-05 08,토요일,맑음,대구광역시 동구 지묘동,기타 - 기타,건조,차대차,측면충돌,안전운전불이행,화물,남,75세,사망,화물,남,57세,경상,1,0,1,0,13
